id,grant_title,group,count,mean,std,min,q1,total_amount,q3,max,box,min_nc,q1_nc,total_amount_nc,q3_nc,max_nc
245,Urology & Nephrology,medicine,248310,0.866144708,0.938766583,0.5,0.534,0.641,0.886,142.187,0.3521,0,3,10,26,7492
246,Veterinary Sciences,medicine,296271,0.717792696,0.401434638,0.5,0.523,0.596,0.756,26.47,0.2332,0,2,7,16,1345
247,Virology,medicine,140322,0.917433494,0.792860693,0.5,0.576,0.694,0.96,39.507,0.3839,0,9,21,44,2085
248,Water Resources,geography,215258,0.869400518,0.853551813,0.5,0.53,0.635,0.884,63.438,0.3547,0,2,9,25,4789
249,Women's Studies,social science,43565,0.70154858,0.717571215,0.5,0.5,0.528,0.698,55.08,0.1983,0,0,1,10,2330
250,Zoology,biology,243286,0.776471043,0.554269201,0.5,0.551,0.636,0.818,70.897,0.2668,0,4,11,24,5418
251,development studies,city development,36787,0.847766176,0.97402861,0.5,0.5,0.588,0.827,39.291,0.3271,0,0,5,15,1477
252,green & sustainable science & technology,science,46356,0.991693671,1.107101714,0.5,0.562,0.705,1.005,55.924,0.443,0,5,17,39,3055
253,quantum science & technology,science,39627,0.959164292,1.532093168,0.5,0.545,0.644,0.903,149.184,0.35885,0,3,8,20,6211
254,regional & urban planning,city development,63539,0.720980653,0.700200991,0.5,0.5,0.514,0.688,42.596,0.1875,0,0,1,9,1814
